   1000   1200   
  578  333  136   
 119 992  582 
  231 784  466 
   817   264  878   
  401   383  184 
 149   246 302  
 480  521  263   
 348 410   235  
 65 133   673 
  601   610 593  
  475  45  359 
 305   898 838   
   95  650 390 
  547 277 632 
   672  146  198   
 872 201   3   
 928  78   510   
   477   503 874  
   290   760   827  
 741 25 726  
 311   377  864 
   351   876   804 
 464 135  16 
  159 453   64   
 837   645 247 
  376   281   407   
 183 77 40 
 607 284 611  
 765   896 632  
   737 420 655  
 773   766  176  
   409 447  65 
  997 216 848 
 972  672   439  
 981  218  503   
  419   287 873   
 413  694  919  
   37   870  902 
   663  115 718  
   758   217   755   
  637 548   968   
 649   54   406   
  723   197 273   
   771 275   984 
  395   808 503  
  470   405 144 
  326  429  460 
   534   204 420  
  895   695  138  
  720  676  370  
   314   43 744  
  715  232  981  
  138 867 553 
   907 408   850   
 520 113   340 
  258   618 969   
  417   734 319   
  194 621  185 
  523 82   221   
 28  505 684 
   674 198  144 
  30 307 585   
  694 836 736   
  623  885 760  
  507 815   465 
  246   338   71  
  733  806   187  
 456 591  907 
   894  405 27  
  882   830 634 
 544  964 168  
  830  213   869   
 47 8 488   
  829   12 955 
 216 623 202  
  559  116  656  
   176  982 725   
  71 27  628  
 84   294  318 
   617   308  440   
   566   469 672  
  511 669  114  
 853 920   580 
   263   249  33 
 513   550   528  
 699   364 308   
  827  952 348 
   846  381  628  
  411  220  928   
  357 925 850   
  565 577   754 
  917   631 371   
   793   251   756 
   693 57  767   
   880 360  347   
  919 832   728   
 283   595  651 
 525   880   248 
   659  373 918   
 2  600   619  
   777   979   220   
   342 933  243  
 359  786   373 
 188 174   690 
  934 175 626  
 32 390   465   
 445   515  490 
  967  534   311   
   367   315   944  
  595 697 541  
   48   925 883   
  201 522  678 
   285  30 262   
   604   296   363   
  701   984  503 
 832 586 28   
  903  497  923  
  504   926  602  
 238   758  342  
  537  188   602   
  870   326   802   
 629   745  804  
   457 922 318   
  484 462 816   
 576   473   542  
 929   614 697 
  72  874   801  
  105 95   947 
   151 51  230   
  222   777   672   
   885 174  921 
  177   131   977   
 633 74 858   
   698 971 743   
  439   727  509   
   539 228 736   
  849  643  724 
 111   186  111   
  955   369   145 
   124   90  939   
  211 169 785  
   403   742   313 
   673  2 371  
 781 436   477  
   352 12 190   
 256  806 972 
   192 674 377  
  965  829  349  
   902   20   372   
   786 968  589 
  561  937   364  
 75 457   281   
 527 44   597 
 170   343  749 
  620 765 608  
  253   990  236  
 321   824 109 
   57  459  216 
  852   450  851 
   128   284 0  
   485  855  490 
   360  981   689   
  950   160  354 
 103   822 405   
   288   658  141 
   799  256  232   
 378  602 656  
 545 231 401  
  438  283  752 
   782  874  860 
  503   217  687 
 4   535 630 
   993   96   462  
 819   522   298   
   209   158   958   
 408   100  159 
  245   886 791   
 871 568 853  
   277 942   34 
 614 153   132 
 260   135   538   
   848 913 988 
   308  667 597  
  384  587   867  
  920  405  377  
 842   232 935  
   514  674   642   
  270   303  397   
  455   886  449   
  968  686   795  
 205  424   759 
   749   967   951  
   52  23  48   
 312  116   842 
 858 397   875 
   540 299 935  
 139   577   342   
 873   69   660   
   542  707 182 
   502  592 899   
  948   199   661   
  79   909   58  
  54 828   373 
 949   764  446 
 900  246 569 
 575   965  974 
  570  383 492 
  66   97  292   
   985 532 17  
  407  781  934 
 11  236   882 
  396  366   409   
 560   586 861  
  94  472  446  
 259  691  689   
   721  2   366   
  391  132   838 
 224  789  953 
   935   794  379  
   989   994 197 
  982 788   586   
   142  929  497 
   347   797  287   
   939   726  552 
 990  123   142 
  960 942   699   
   942  796   459 
 632  888  567   
   703 336   931  
  631  664  581   
  449   186   704 
  44 357   672 
  654  367  882 
  933  339  624   
 707  464   570 
   145   203  869  
 274   172 345 
   120 295  15  
  518  663 637   
 41  242   818   
 362  70 484 
 18 525  607 
  994   228  1  
 970  789  684 
   973  246   141   
  179  631 853   
   58   665 392 
 815 750   748 
  805 782  797   
   313  964 635  
  585 820  668   
 467 237  315   
 228  163 952  
  661  19 260   
   536   784   770  
 736   258   52 
  688  915   918 
   440  268 292   
 519 358   898  
 286  495  653 
  605   8  286   
  423 955  394 
   121 775 940   
 535  88   343   
 441 947 273   
   828 380 278 
   370   319  397  
 410  115 202   
 549   819 990   
  818  800  964  
 743   500 57   
   592 249  506   
  164   437   24  
  331 112   808 
 875  30  984  
   335   44 14  
  792  257   994   
   434 613  336  
  257   894 650 
   247 959 172   
 329 172  996  
 104  319  142   
 488 663  931   
 56   730   615  
 586   129  212  
  843 620 323 
  541  392 280 
 252  732   225   
  947  143  543  
   689   292 709  
  823  489 40   
   640 791 378 
  208   127 877   
  577 340   155   
   627 994  556   
   31   8   944  
  150 156 321 
   671 201  861  
 925  632 336   
  59 165 133  
   304 145 520  
 126 625  181   
 451   136  329  
 262 893   845 
   398 799 390  
  910 902   121   
  554 394   981  
   636   596   997   
  647   557 908   
  916   931   879 
  959 624   471  
 813 22 614  
  599 55  125 
 16 669 328 
  127   365   937 
 932  296  33   
   12   784   756  
   429 884  926  
  239 95 473  
  557   522   841  
  383   0 17 
  426 400   471  
  652 662   221   
  414   376 612 
 476 23   970 
  100   805  168  
  458   308  135 
 675   293   219   
 597  456  323  
  223   24 27 
  218 59 450 
   436 71 670  
   590 128 199 
   807   768 290 
  160   490 651  
 897   447  17   
   531  958   388  
  971  479 315 
 964 401   946  
   141  70  443   
  241   545 635   
 172 231 18   
   382 481   136 
   7 521  162 
   278 61   447 
  19  590   10   
  109   285  367 
   625   535  41 
  855 119   466   
  427  91 622  
  896  580 629 
   645  102  443  
 425   628  412   
  963 567 888   
 317   614   625   
 984  90   925 
  803 647  876  
 603  685  154   
 53 899   309  
  810 511 560  
 131  497  765   
  232  443 394   
  491 320   299   
 583  418 821   
  249  79  107   
   584 407  356   
  478 258 289 
   558   77   680   
  394   232   820 
   891  347 748  
   428  945 798   
  91   17 775   
  740 189  720  
   643   579 170 
   340 175   891 
   738 242 984   
 886 856  938  
 867 834   509  
  116   671 755 
 996   367   415 
  74   222   269   
   113 537   905   
   908   656   732 
   295 487   822  
 904   229 264 
  318   737 914   
  385  471  429   
  300  942   908  
   298  375 827 
 716   236   367  
 866   249 38   
  521   86   783  
   27   886  976  
   400  344 168   
  991   279 451  
 591 951  411 
 571   470 564  
 392   661   505 
  890   976  810  
 494 456  705  
  169  743 621 
   844   875 734  
 861  788   25 
 835   301   577  
   46 761  306  
 729 773 149  
   114 412   394 
  626  568 689 
   856 903   390   
   135 65   624 
  235  548   887  
  474 560 932   
 112  725  725   
 447 406   832   
  784   121 871  
  874 5 332   
   912 386   581 
   898  110 436  
   0 427   559 
   756  2   769   
   248  607   815   
  999 874  705 
 486   141   378   
   368  450 649  
  171   303 333   
  772   641  359 
   748  529 923 
   889   613 990   
   226 909  523   
   442 738  171  
  711  701  238 
  717   577   484 
 901   418  734 
  386 573 288  
  435 569  139 
   306  450 177 
   702 61   896  
   36  639 493   
 742  831 524  
  757  18  707 
  461  794   187   
   878  100   875   
   918 50  858 
  923  578   494  
  345   236  170   
   931  723   940   
  83   792 900   
   779 976   236 
 618  531  764   
 373  878   134 
 961 505  849   
  714   159  372  
   979 151 529 
   240   567   478   
   938   471  586 
  418 444   53 
 237   988 139  
   977  133  878  
 5 292 457 
 724   148  960 
   538  605 758  
 798 990  648  
 23   487 581  
 178   943   201   
   974   153 137   
   877 459  146  
   184  736  805  
 680   216  959   
  193   849  396 
  708  448   577   
 669   384  296  
 320   234   704   
   657   545 769   
 424   169   894   
 371   139   996   
 297  805 767   
  816  795  476  
   944   399  388  
 24   958  373   
   644 545  143  
   152   968  731   
   958  745   120  
   487   889   322 
   10  430   765   
 244 0   663  
 454  956 512   
 200  911   948   
  195 290 130  
  516   141   602  
   526   708  389 
  492   74  143 
 115   779  823 
   144  868   383   
   221   769   810  
   660 600 455 
 550 858   257 
   173   236   422 
   269  564   396   
 143 385   357  
 397  991 531   
 372 726  877   
 137  512   576   
   85  103 561 
  927   520 615  
   68  692   937  
  804 930 729   
 568   757   805 
   180 866  478   
 609  707   555 
  98   121 944  
   957   873  969   
  3  294   531  
   186 49   76   
 73  839   858   
   839  923  818 
 812   998  989 
  691 128  499  
   490   919  686 
 212 301 882  
  976   766 922 
  294   234   890   
  203   974   476  
 658 553 516  
  709  341 133  
 797   292  677 
   129  955  840  
 573   871 381 
   416  442  362 
  580  795  403 
  230 64  670  
   751  12   516  
 430 303   862 
 677   90 259  
 505   135 820   
  199 948  732  
   953 58 936  
   166  819   601   
   291  198   580  
 310 666  302  
   393   207 819 
 956   650   760 
  498 467  416   
   339   339 952  
   606  848  657 
  899 671 662   
  725  409   628  
   133   672   865 
  215 943   130 
 825 505   979   
   730  466   448 
  460  601   474   
   692  407  596  
  272 827 931  
   353   396 668 
   567  651  760 
   747 15   753  
   405 187   368  
   865 453 418 
 265   675   989  
 667  799   845  
   354  287  825  
 704   375 656 
   319 826   675 
 881  57 214   
   45  959 495 
   146  493  52 
  93 160  18 
  610  337   995 
  20 831 395   
   468  948  167  
 78 537   189   
  888   414   926   
 767   42   505  
 117 612  996 
 945 427 74 
 630   960   666  
 40 32   249   
  107   262 327  
 650  982   127  
   472 105 662  
 735  657  761  
  358 476  702 
 302 588   110   
  753 501  288   
 355  169  349   
   87   44  427 
   801   839  874   
   276   346   499 
 399  883  528 
  639   133   929   
 6   118 145  
 315 801   923 
   608 822   849 
 824 697 59   
  553  729 489  
  375   91  813  
 712   284   831   
   940   538   777   
   986  929 571 
   341  486 952   
 622   894  61   
  333   414  235 
   175   610 372   
 641 558 511  
 497 26   144   
  108 380  276  
   588   529   615  
  746  693   613   
  572   310 677   
 38   525  401  
  97  631   284  
 683   100 911  
 389   914 116  
 728   821   736   
 954  388   893   
 122  768 910   
  281  723   440 
  892   856   411   
 130 901 53   
   719  454 172  
   628 635 901   
  613 157 579 
 80 591   216 
   700   432   123 
 343  834   873   
 582   342  637   
   530 51 342 
   404 63   305  
 776 57  413  
  82  927   993  
 233   113   592 
  731 927   359   
 412 946   889   
  914   260  615   
   225 205   193 
  763  631  462 
 268   954  820 
  29  724 473 
 913 909   351  
 165   631   50 
   344  831 554   
  952  968  180   
  64   857   881 
   34  840   335   
 690   499   860 
   924  581   879   
 101   411   687  
   250 528   759  
   219 0 173   
  806 318 226   
   593 253   78 
 718   628  906   
   695   211 456   
   624   796   673  
 471  727  482 
 350  749   381 
  452 874   907 
 670 751 992   
  998 406  354   
 739   420   252  
   587  46   367  
 564 634   310  
 123   190 64   
 506  78 225  
  676   106   814   
 883  260   738   
   67  906   590  
  147  185  300 
  473   314  757   
  548   594 505 
 153  928  475   
 197   534   520 
 543 629 968   
 204  342  279 
 462   278 212  
   838 838  701 
 301 188 730  
   930 932  305  
  685   592 125   
   706 261  441  
  185  266   98  
  619  144 866 
   745   936  526   
   86 307   847  
 379   515   591 
   879   170  612 
  696   132   583 
  69 454  49  
  13   102   214 
 267 939  427   
   750   308  133 
 459   810  61 
  448 427   695 
  334 413  206 
   616  210   866  
   831 586 508 
  450 62  197 
  190   543  878   
  508 306   394 
 581  829   599   
 431 866  995 
  501  544 102   
  820 120  89  
   292   482   786 
 863 439   704  
   356  119   105   
  602 5 55   
   433  548   649  
  415 582 188   
   653   298   928  
 33   555  413  
   61   192 774   
   646 136 121  
   118  429   994 
 788 52   230   
  346  795  377  
   198   291   572  
   611   655   339   
  363  168  935   
   992 629   703   
 921 966  746   
  713  449  614 
   482 444   847 
 77  881 653  
  322  48 420 
   406  935 731   
 909   756 448  
 596   315 602 
   809 958   636   
   187   502   242 
  555   955 661  
  651  689   977   
  483   858 558  
 39   236  406 
   174   191  899   
 280   891 677   
  778   133 832   
  826   604   92  
  905   86  729  
   324 796  699   
   975   991 571  
   22   304   323  
  983  388   872  
  307  79   421  
 206  570  641   
   893 317 202   
 338   347   468   
  279   179  450   
 795  796  501 
 517   443   165   
   569   857  522  
  437 425  87   
  500 162 135  
   937   923   577   
   978   462 561 
 752  809 626   
  495 182   950  
   678 16  828 
 621 476  409  
 697 185  2   
 254  194 276 
   510 559 982   
  760 935   559 
 869   550 393  
  432 339  606  
   266  112 851  
  161 619 936  
  822 890   554 
  421  136 346   
  349  659 376 
 479  41 298   
   551  645   876  
  157  481 720   
  642 212 34   
   887  923 623   
 81 924   373  
 42   833 442   
 390  168 418 

   521   177  
 678 277 
  823   507 
   479 285   
  389 27 
   901   905  
 776   818   
 751  47  
  421 904 
   40 584 
  373 534  
 268  282   
  764 514  
   386  203   
 838 821 
  446  762   
   801   825 
  502   490  
   759   662   
  139 471 
   636   534 
 105  516 
  371 539 
   324  319  
   806 131   
   238   787   
  922 978  
 436  294 
   202 634  
   403   513 
   146 91  
 131 94   
   47  419  
 204   727  
  78 709  
 377 669   
 362  635 
 795  730  
  866   896  
  429   3   
 164  779   
 870 291   
   207  135 
   118 171 
   462   704   
 798  527   
 944 875   
 58 867 
 323 303  
   301   220 
  121 457  
  137  508   
   497  816  
   84  397   
  600 747  
 781  883   
  713   724  
 604 789 
  310   986 
 561   810  
 134  303 
   455   146   
 728 576 
 707 594   
 49  287  
 927   949   
 683   176   
   865   726  
  518 309 
   359   49 
 416  943  
 311   466   
   539  603   
 510  218   
 313   940   
 4   425 
  484 331 
 148  778 
  199 785 
   595  212   
  282  971  
   420 396  
  72 321  
  945   877  
   917  824 
   208   152  
  243  357  
 636  455   
 658 150  
 715   15   
   821 720  
   176   917 
 438   141   
  407 119   
   507 47 
   462  731  
  276  215  
   788  916   
  673   259   
   436  636  
   905  601   
   631   275   
  165   629  
  376   341  
 334 40 
 207  761  
  906  927 
 978  250  
 323   326   
   845 239   
   689  186   
 10   117   
 789   41   
  218 269   
   662 499 
 171   554 
 615  954 
  936   224   
   965   522  
  76 591   
 169 875   
  556 345  
 135   128   
   124   174   
  697  546 
   95 52   
 381   643 
 447   724   
   616 66   
  232  879 
  670  388   
 654  764 
   548 595 
  446  552  
   285   588 
   559  322 
   697  423 
  160 477  
   189   279 
 163 643   
 448 612 
 417  717  
 665 361   
  429 79  
   247  828   
  126   273  
   824  737   
 203   17 
   905  696 
 286  137 
   355 895  
 806  775   
 748   886   
 450  226  
 814   908  
   805   500  
  253 92  
  44   421 
   149 637 
 438 872   
  844   138   
   437  396  
 951  157 
  59   130   
 822   879 
   855 501   
 514 881 
   787   933 
   163 302  
   805   257   
 82 559  
 975 676 
 739 291  
   364   367   
 469 922 
 478   945   
   121  396   
   848   951 
  135  367  
  730  563   
 258 477   
  69   138 
 914  335   
 154 392   
  487  344 
 86  763  
   17 237 
   143  937  
 881 851 
 815  461  
   117 576 
   518  838  
  417   971 
  118  326 
 277  245 
 814  215   
   396   994  
 223 419 
 923   197 
   257   509 
   850  17 
 890   439   
   995 303   
 689  610   
 822   120   
  234  67  
 435 781   
  435 909   
 902   666  
   532 631   
   814 924   
  681   832   
   901 902   
  882 86  
 711   365  
   503 626 
  592 647  
 583   11  
  385  201  
  516 747   
  224  482   
   334 383  
  952 183 
   585 905  
  261 22 
  942   157  
   67  197  
  629  936   
  400   717 
 907  47  
   851   990   
   107  249 
 864 986 
  667  732  
 645   31   
  602   328 
   12 978  
  423   294 
  844 66 
 852  972  
 871 920  
 253   85 
   695 349   
  763 22   
 727 549   
  551 585  
  295   524   
 5  299 
 848   634 
  945  511  
  456 915   
   277 470 
 146  775 
 274  577  
 358   552   
  948   470   
 159   537 
  764 517  
  45 202   
  839  75  
  683 279   
 274 507   
   54 712 
   760   573  
  586 985   
   494   640  
 457   487   
 636  476   
   483   307  
   208   242   
  610  446 
   427   455 
 128  605  
 242  444  
  905  472  
  738   782   
   494 765  
 793   181  
   631  320 
 228  416  
 788  277  
   282   622   
  624 374  
   563  866 
   194 743  
  876   612   
   40   275 
   610  465  
   907 985 
   634  56 
   563 369  
 797   241 
  791 598   
   437   904  
   692   135   
 288  476   
 297   58  
 587   56   
  455 507 
   403  488   
   914   579 
  550   278 
  526  733  
 207  667  
  546  531  
   448   643   
  692   599   
 799   46 
   226  650  
   867  769   
  828 168   
  416   648  
   378 388 
 530 314   
  860 298 
   640   170   
 764  22  
  28 9  
 195   787  
 430   653 
  222  127  
 96   854 
 771   878  
 436 454 
   461   615  
 968  941  
 170  326   
  410 884  
 254   308  
   78  55   
   922 860   
   56  164 
 495   100   
  494 670  
   447   776   
   865 744  
   496  131  
 103 386 
  378   469   
  371 823 
 291   182  
  283   990  
   465  455   
   614  146 
   69 521   
  543 530   
  569  406   
 772   290  
 46  330   
 627   96   
 326   631   
 998   160   
   339   973  
 345 265 
  684 525 
  36 807 
  814 178  
  793 245 
   480   417  
 655  287  
  150 593 
   573   776  
  622  876 
   721 14 
 685   943   
   664 328 
  42 993   
   37  692 
  768  566   
   488   336  
 983 938 
 254  409   
  904   166  
   166  644  
   944   343  
 619   746  
  805 491   
  742   578 
   747  542 
   262 684  
  464  907   
 65  514   
   491 241  
 258   902   
  64  954 
   314   409  
   519  459  
 791  899 
 984   910   
 486 174 
  832  141  
   373 706 
   167 801   
  439   769 
   985 195 
 490   916  
 582   991 
 680   550  
 519 59   
   529   841   
   237  873  
 866   136  
   156   665  
   595  15 
   62  228   
  261   831   
 641   284 
   210  419  
  363 348 
  857  80   
   413   490  
   121   133  
  531 215   
 93   887   
 474  667  
 537  790 
 770  435 
   646 950   
  698   213  
   401  368  
   592 514  
  611  225  
   223   526 
   160 859   
 153 41   
 478  366  
  665   447   
 925   3  
 540   609  
   31   821   
  94  791   
 262  544 
   678 214   
 591  486   
  379   305  
 415   373  
  542  453 
  392   633  
 679 365 
   174   947  
  966   392 
  511 170  
  760  198  
   889   129  
  60 932 
  964   766 
  558  8  
   718 384   
 652  992 
 157  976 
  537   16   
   269  931  
 583   952   
  533   60  
 970 630   
  998  640  
   963   82   
  116  139 
  465  776   
   846  845  
  972 362  
   681 843 
   798  667  
 142  147   
   743  799  
 182  448  
   627 415  
 388   625  
  844  110  
   306 231   
  876   132   
  131   953 
 200  621  
 866  20  
   471   857   
   983   1 
  667 169   
 417   958  
   438 143   
   36   817 
  491   331  
 560  166   
 442 553   
   945   596 
   661   572  
  831  378 
  934   570 
  214   405  
  867   235  
   536  722 
 944 494  
   109  200  
   976 905  
 776  423  
  627 714 
 701  63  
   328   837  
   85  604  
   361   468  
  532   664   
   954 963  
 330   718 
  31   196  
 990 949   
 19 986 
   143   59   
   13   676 
   847  742 
  577 399  
 857  998   
 643 995 
  722 739 
 672  64 
 505   347   
   314  526 
   543 359   
   691  741  
   546  289   
  348  143   
  224  340   
  909 33 
  972   529   
   707  596   
   838  277 
 583   683   
  926   522  
   215  143  
 223 475 
   310   34  
  881   74 
 544 417 
  954  499 
   99   544   
   676 503  
   832  304  
 453 439   
   492   896   
 328  504  
 63 509  
   372  161 
   785 719  
 82 604   
 155   953   
   224 464 
  502   706 
 794  313 
 716  117   
  98 629   
   32   897  
  440   386  
   754   366  
   991  171  
 600  10  
  363 505 
 272   159  
  272  774  
 67  915  
   882 184 
   664   329  
  470  120 
   594 489   
  725   839 
  995  767  
  303 881  
   556  145   
   303  942  
   741   428  
 193 936  
   600   541   
 155  193 
  260  867 
 155   504  
 92  804 
  308 305   
 392   355 
   438   590 
  679 780 
   283   286  
 153  394   
 973   389 
   559  507   
  569   582   
 184 907   
   158 203  
   25   526 
   665  703 
   654   769  
 44  616 
  810  654 
 422 135   
  828  683  
   807 424   
  897  813  
 516   199   
 543 74   
   433  915  
 401 346 
 352 970 
   965 143 
 118  829  
  410 271  
   814   543 
 589 408 
  866   270  
 624   181  
   633 118 
   441 126   
 370  270  
  237 270   
   414   39   
   9 249  
   873 21 
   640  391  
   209 142   
 807 517  
  918  963   
 579   9 
 38   655   
   688   227 
  53   996   
 335 100  
 903   565  
   70 454 
 28 417  
 559  351  
  576   873   
  934   775  
   239  272 
  94 850  
 450 769  
 424  692  
   763  6  
   339  472 
  16   323 
   814 587  
  197  510 
 587   871   
 163  316   
  158  951 
 269  859 
   413 329   
   952  258 
  889   453  
 922   239  
   191   44 
   101 308 
  86   403 
   455   605 
   914   9  
 354   852   
   866  637  
 930  262 
  325  622  
  909  834  
 729 67   
   990 48   
   649  622 
  284 851  
  204   495   
  720   270  
  398   684   
  543 119  
   940   833   
  47   86  
   484  999  
  872  677  
  814  656 
  248 153  
   517  987   
   294 498 
 927  293 
  346 284  
   29  740   
 531 82   
 537 830  
  278   765  
 859   712  
   461 538  
  793   283  
 93  785 
  973   977   
   950 336   
 173   122  
  621   365  
  559 209 
   623 34   
   537   891   
 737  326  
  455   848 
 421  440   
   604 715   
  897   821 
   265 916 
 732 429   
 470  157  
  527 884  
 16 433   
   364 234   
   943   313 
 617  782 
   966 436 
   315   121  
   468 890  
   49 684 
 452 622 
 552 504 
 14  588 
 257  441   
  447   330  
 892  332  
 479  764   
 37  118   
  842  91   
   519 894  
  803   190 
   599  236   
   48 490 
   986  85  
   265   18 
 488   815 
 153   340 
 408  524 
 579  13   
  314  987  
 982   974   
 837 326 
  898  503  
  182 405  
 890   489 
   658   614 
 670   790   
   843   834 
   678 11  
   593 382   
  731   454 
   38  300   
   125 810   
 25   78   
   416   735   
   671  342 
  250   880  
   693 309   
   828  440 
  292 804   
 103 833  
  785   985  
  912   976  
   845 473   
   106  558  
  453   965  
  506  104 
 325 224  
   290  37   
   885  409  
 787   26 
   824   129   
 325  220 
   700  696   
   937   766   
  865   378  
   979   237  
  60 449   
   609   547  
  292   438  
 655  100 
 432   311  
  354  414 
 647   17 
 974  995 
 639   235 
  91 869  
   194  533 
 229  669 
  113 82  
  880   175 
   574   457 
  908   459   
   648  114   
   803  186  
 51 361   
   467  906 
 183 218   
   123 558  
  517  224  
 844   770 
   69   199 
 289   577  
  479 37 
   704 672   
   974   754   
   166  333 
 559   944 
   173 232   
 457   438   
   662 49   
  714 885 
   531  480 
  5   114 
  410 880 
   907   714   
 721   175   
   137  935   
  382  689  
 98 281   
 846 909  
 997   437  
  167 94 
   591 890 
   727 87  
  836   767   
 382  813   
   158   624   
   382  632  
 552  996  
   350  141   
   299   436 
   356  878   
 978 169   
 588 861   
   425  862 
 939   219  
 829 471   
   355  891   
  252   528  
   293 499  
 746  635 
 443 711   
 380 480 
   317  696 
 501   465 
  569  693   
 146   610   
   423 235  
 531 479  
  579 270  
   131  325  
 335  178 
   449 337 
   779  890  
  349 382 
 873 641  
   812 565  
   6  649   
  353  332 
  125  671 
 138  422   
 535 641 
 596 42  
 395  180   
  771   877 
   995  945   
  645  826   
   432   931   
 38  571 
   417  554 
 468   252   
  869  404 
   600   742 
 0   556 
 972  681  
   249  479 
 511   507   
   900   52 
 301 917 
   28   910 
  584  692  
 305 439 
   305   445 
   801 614  
  720 919 
   113   584   
  142   16   
 122 525  
   162   771 
   928  497   
   271  220   
   80  800  
   911  721   
   487  406  
   551   831  
  814  1 
  86 173   
  151 692 
   841  553  
   896   414  
  448  515  
  999 351 
   606 509   
 369   870   
   772 888 
   322 137 
 318  488 
  440 177  
   803   497   
   745 823  
  938  667  
  491  265  
  730 821   
   412  510  
   979   576   
  923  281 
  866   248 
 353 145  
   155 193 
   511 727   
  421   574  
   942 406 
 607 348   
   149 181 
   779 666  
 591   523 
  124  756   
   142   912  
  572 893  
   697  935  
 90 21 
 758  597  
  435  254 
   61  279 
  647   846  
 609 580  
 819   767   
   370   312 
   963   496  
  663   844  
  20  274  
   152 177  
  75  256 
   548   817   
   201  970   
  591   696   
  327  469   
  48 579   
  612   583  
   482 193 
 737   909   
  759   494   
 609  647   
  453   123   
   570  697  
  973   835  
  605 899 
 132 848 
 927   900 
   205   355  
 312 458  
  1  59  
 860  866  
  846  480 
 404   31   
   693  607  
 939 421 
   336 297 
   960 480   
   308  160  
  539 622 
  621  574 
  434 440  
   711   435  
   417 852   
 862   768  
 865   618 
  949 435 
   978   411  
 340  99   
   307 77 
  610   187 
  692  112  
   862  653   
   529   953   
 63   528  
  526 201  
 321 139  
   236  538 
   91 550   
  165 58   
   0 887 
 39 312  
  945   352 
  418   29   
   673 857 
  741 94   
  114  587 
 311   294  
 903  895   
  665  843  
   96  967   
   696 61   
   301 39   
 643  702   
  354   912 
 837   47   
 87   268  
 235   807  
 525  538   
  678   493   
   866  520   
